ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237661949736714543,229.10449669506312,8.846423950372865,0.033132665,-17.813303,-19.987013,-19.305126,-20.305897,-20.551104,0.3883283734321594,-251.47049473832797
1237661949736714517,229.09335602661085,8.881061290833959,0.033111203,-17.714106,-19.547668,-18.949795,-19.836107,-20.051704,4.133636951446533,-257.6930728172409
1237661949737763282,231.5703966844688,8.579916007366426,0.036330834,-18.643036,-20.35685,-19.799402,-20.63958,-20.837643,1.9430701732635498,675.7896073984247
1237661949737697482,231.2980736118435,8.63691955419335,0.03307978,-17.29796,-19.889254,-19.086714,-20.269176,-20.580992,2.3112478256225586,-266.80369023284317
1237662238559371581,229.42899579482068,8.01602989295572,0.03436434,-17.193054,-19.449522,-18.69542,-19.806118,-20.130783,3.4955825805664062,105.6348009165564
1237662199359078649,231.7829064098106,8.65296363794671,0.0335696,-16.383152,-17.957973,-17.432594,-18.22272,-18.306303,3.9289369583129883,-124.78788580580398
1237662198284419214,229.55221840877752,8.331586554583593,0.034798242,-17.64017,-19.202812,-18.69105,-19.45731,-19.657068,3.7635788917541504,231.4380379679258
1237661949201285345,232.3157897768862,7.978166263111867,0.04060381,-16.35029,-18.694246,-17.936241,-19.071934,-19.369055,0.48157262802124023,1914.6735319777354
1237661949737369884,230.63236336182672,8.778641721747546,0.031455055,-16.827389,-19.198616,-18.477224,-19.542435,-19.801003,-2.405404567718506,-737.8678114359865
1237661949201285298,232.28380882742601,8.056388779406998,0.04007972,-17.753447,-19.99301,-19.26109,-20.326763,-20.589891,2.6303443908691406,1762.7216661042157
1237662199358947423,231.42246026055597,8.718690056860472,0.03370602,-17.979454,-18.453394,-18.165297,-18.571602,-19.086397,5.607433319091797,-85.23499690796883
1237662199358947420,231.41211262380577,8.702977180551118,0.034026667,-20.018137,-19.911425,-19.68707,-19.955475,-20.673267,5.486138343811035,7.731688082673341
1237662264859885756,229.37471743809505,8.177569341393179,0.033297244,-17.21099,-18.621279,-18.212341,-18.845686,-19.063677,5.168437480926514,-203.75333521687594
1237661949200302413,230.13336560628915,8.372787371137171,0.03395943,-16.839083,-19.020473,-18.311474,-19.342148,-19.620275,-1.8446263074874878,-11.762649923656765
1237662199359013245,231.58392643130398,8.727646738805072,0.034233816,-17.662624,-19.741972,-19.081253,-20.039627,-20.234398,-0.4020841121673584,67.79136688561638
1237662199358881911,231.26504120242453,8.718521197969608,0.032700308,-17.954252,-20.534998,-19.756235,-20.90867,-21.218214,-2.1039934158325195,-376.82578271077125
1237661950274371815,230.90380478596666,8.987012914520566,0.03807613,-18.131124,-20.669384,-19.906168,-21.044346,-21.296114,-2.2228145599365234,1181.8114427732487
1237662198821683697,230.5320257002069,8.548372378936792,0.03868341,-17.188644,-19.745026,-18.994053,-20.110275,-20.387632,-1.8210996389389038,1357.8829745858604
1237662199358750761,230.93043534270515,8.913996869340759,0.03321713,-17.992147,-20.245714,-19.459688,-20.667032,-21.027378,-9999.0,-226.98116208361847
1237662198821879847,230.9292638362359,8.458049647781127,0.030500185,-16.937754,-18.927738,-18.352571,-19.134094,-19.364197,-2.0199546813964844,-1014.7177382932989
1237661949737501067,230.9438816911808,8.648091187192684,0.030087072,-16.644756,-19.307295,-18.580965,-19.66905,-19.938128,-2.19950008392334,-1134.4935233046663
1237662199359078682,231.6523444636938,8.711429942227987,0.034373704,-16.750435,-18.244587,-17.649542,-18.522924,-18.682737,-1.3019176721572876,108.34974924993294
1237661949737828379,231.6227544144913,8.590619006182107,0.03452546,-18.510235,-21.061321,-20.301815,-21.426792,-21.688114,-2.155879020690918,152.3490763836359
1237661949737369838,230.6115715391628,8.804001968320534,0.035330374,-16.685106,-18.332844,-17.730816,-18.544664,-18.640724,2.9881973266601562,385.72155852929455
1237661950274371879,230.9486554350754,8.98643614243634,0.037175942,-17.907572,-20.253008,-19.539572,-20.605217,-20.853518,-2.367987632751465,920.8157240284664
1237662198284419391,229.5375355050766,8.247479214781697,0.03591301,-18.793203,-20.300438,-19.793694,-20.464153,-20.726004,4.1625165939331055,554.6479401146808
1237662264859951276,229.46206721466194,8.228885144119413,0.03560947,-18.450687,-20.54317,-19.865095,-20.916384,-21.152704,4.205051422119141,466.6411676762654
1237661949737566294,231.09055954070578,8.636263234559138,0.03265005,-17.2231,-19.183807,-18.613354,-19.403164,-19.590008,2.187452554702759,-391.3973198037725
1237661949737566251,231.03944704060322,8.68064086887648,0.035650454,-17.35844,-19.197313,-18.623814,-19.468409,-19.657825,-1.682111382484436,478.5238505569929
1237662199358751003,230.96430867153518,8.792967429532986,0.039633386,-16.668425,-18.405197,-17.907732,-18.435528,-18.635849,4.821077346801758,1633.3139611245524
1237662199358816565,231.1252618093774,8.75963524249344,0.03391094,-16.317467,-18.468904,-17.816566,-18.848068,-19.092922,-1.8235279321670532,-25.821582504333243
1237662199358685411,230.78047085469393,8.807948706529643,0.03814624,-17.345278,-18.24772,-18.05729,-18.230442,-17.888826,5.992276668548584,1202.138763112107
1237661949737435196,230.71996329708156,8.744955568766063,0.037650097,-18.089506,-20.623446,-19.83774,-21.01845,-21.298668,-1.9607075452804565,1058.2897017102762
1237661949737500984,230.87310033278166,8.757927988297451,0.039209846,-16.226254,-18.48415,-17.796526,-18.769821,-18.94635,-2.0582027435302734,1510.515027216119
1237661949737369738,230.55288817987523,8.767458284864713,0.035323173,-18.006351,-20.3008,-19.596294,-20.675062,-20.882984,-0.8304877281188965,383.6337389064149
1237661949200564503,230.7283259121579,8.348964310987888,0.031141428,-18.287811,-19.229132,-18.962416,-19.296253,-19.457941,5.499752044677734,-828.7991549806355
1237662198821749063,230.59905983630622,8.444912892953761,0.034268647,-16.650679,-18.518501,-17.84803,-18.810202,-19.061798,3.7323899269104004,77.89008168696813
1237662199358816519,231.08458989647096,8.833759135493215,0.036536455,-17.027498,-19.226254,-18.513094,-19.548676,-19.855219,0.39195019006729126,735.4062660119826
1237662264859951335,229.48927970653483,8.14819148656555,0.034825392,-16.320282,-18.401514,-17.68309,-18.714394,-19.044298,-0.6829009056091309,239.3097645005167
1237661949737501051,230.92383399035646,8.561095443870665,0.02964933,-16.392538,-18.977474,-18.273794,-19.327642,-19.557716,-2.2314510345458984,-1261.4101095230758
